Topic,Word_Number,Word,Weight
43,2,observation,273.7780714770084
43,3,line,246.0236947416588
43,4,dust,207.82206710565853
43,5,redshift,182.0195068779325
43,6,continuum,142.9997039582935
43,7,um,130.57748569409594
43,8,ism,126.89664646231294
43,9,star,125.6692275901255
44,0,gas,188.82341923047474
44,1,line,125.92053637970731
44,2,star,100.25839441746527
44,3,molecular,92.6593341174313
44,4,formation,75.92234452313743
44,5,galaxy,73.99669774860288
44,6,study,66.39767507500854
44,7,ism,63.122797605131005
44,8,dust,55.767171592701075
44,9,reservoir,42.49996487710351
45,0,galaxy,75.83426970854607
45,1,oiii,62.893139991689004
45,2,bulge,36.990744587552655
45,3,source,30.84599935541417
45,4,dust,23.37138995838369
45,5,image,23.001049570627885
45,6,telescope,22.428531786391897
45,7,use,21.957599529057106
45,8,stellar,20.98135088182351
45,9,inner,20.24126717829862
46,0,outflow,795.0105543349034
46,1,molecular,504.0625472997167
46,2,gas,475.0882515684484
46,3,agn,351.86686696701355
46,4,feedback,312.8945746652894
46,5,galaxy,300.22354881898883
46,6,radio,194.53850583137577
46,7,observation,168.07489033405514
46,8,star,117.19950617659623
46,9,cold,115.41599797016848
47,0,disk,1015.763628800111
47,1,line,238.77293225256287
47,2,observation,196.3657100278999
47,3,planet,173.8669596715304
47,4,formation,167.00901805974178
47,5,water,135.42424324897343
47,6,around,125.01117419496748
47,7,protoplanetary,123.61492766893534
47,8,class,94.07109581813752
47,9,accretion,89.36816581362254
48,0,burst,90.45804454871887
48,1,luminosity,87.68765516575586
48,2,line,61.61421685442871
48,3,luminous,45.299801171096554
48,4,observation,39.96064693686452
48,5,galaxy,36.32375325234669
48,6,object,34.613432257707366
48,7,molecular,33.952499179087916
48,8,accretion,32.48673699782008
48,9,curve,30.176033342421515
49,0,molecule,276.28175459275474
49,1,abundance,239.90525146339112
49,2,chemistry,234.15927341311306
49,3,chemical,207.23975798288762
49,4,ch,196.2647729424412
49,5,form,153.51715560992074
49,6,specie,150.8247767026319
49,7,region,150.16441049094666
49,8,organic,147.03044785889168
49,9,grain,124.13851958816964
