topic,cluster,med_freq,min_freq,max_freq,count_meas,count_proj,min_band,max_band,mode_band,width
2,10,304.725,302.855,306.935,5,3,7,7,7.0,4.079999999999984
2,11,90.71,90.1,91.415,13,10,3,3,3.0,1.315000000000012
2,12,98.755,96.575,101.205,87,34,3,3,3.0,4.6299999999999955
2,13,102.035,101.985,102.245,6,5,3,3,3.0,0.2600000000000051
2,14,102.5725,102.505,102.805,8,8,3,3,3.0,0.30000000000001137
2,15,95.51,95.25,95.83,5,5,3,3,3.0,0.5799999999999983
2,16,96.205,95.935,96.315,6,5,3,3,3.0,0.37999999999999545
2,17,115.265,115.25,115.27,6,3,3,3,3.0,0.01999999999999602
2,18,349.7425,349.045,351.75,14,6,7,7,7.0,2.704999999999984
2,19,107.29,107.005,107.645,9,8,3,3,3.0,0.6400000000000006
2,20,108.08500000000001,107.99,108.395,10,9,3,3,3.0,0.40500000000000114
2,21,115.06,114.98,115.065,8,5,3,3,3.0,0.08499999999999375
2,22,328.41499999999996,327.865,329.295,6,5,7,7,7.0,1.4300000000000068
2,23,85.2,85.12,85.3,5,5,3,3,3.0,0.1799999999999926
2,24,114.765,114.545,114.85,10,4,3,3,3.0,0.3049999999999926
2,25,111.63,111.285,111.955,15,6,3,3,3.0,0.6700000000000017
2,26,193.32,188.51,200.51,12,4,5,5,5.0,12.0
2,27,331.595,330.63,333.16,11,7,7,7,7.0,2.5300000000000296
2,28,109.265,109.06,109.355,7,6,3,3,3.0,0.2950000000000017
2,29,334.385,333.97,334.465,5,4,7,7,7.0,0.4949999999999477
2,30,353.8675,353.035,354.6,20,11,7,7,7.0,1.5649999999999977
2,31,355.8325,354.905,356.595,24,14,7,7,7.0,1.6900000000000546
2,32,85.865,85.68,86.075,8,7,3,3,3.0,0.394999999999996
2,33,114.39,114.285,114.425,11,4,3,3,3.0,0.14000000000000057
2,34,89.005,88.845,89.03,6,5,3,3,3.0,0.18500000000000227
2,35,206.91500000000002,204.39,208.005,6,3,5,5,5.0,3.615000000000009
2,36,347.67,347.265,348.015,8,7,7,7,7.0,0.75
2,37,112.54,112.36,112.865,10,8,3,3,3.0,0.5049999999999955
2,38,113.1925,112.96,113.295,8,6,3,3,3.0,0.33500000000000796
2,39,114.14,114.13,114.17,5,2,3,3,3.0,0.04000000000000625
2,40,114.21,114.205,114.215,5,4,3,3,3.0,0.010000000000005116
2,41,336.85,335.7,337.765,13,7,7,7,7.0,2.0649999999999977
2,42,338.6125,338.395,339.185,6,5,7,7,7.0,0.7900000000000205
2,43,87.03,86.925,87.17,8,8,3,3,3.0,0.24500000000000455
2,44,86.62,86.5,86.8,11,11,3,3,3.0,0.29999999999999716
2,45,233.3875,232.64,234.515,6,4,6,6,6.0,1.875
2,46,346.145,346.135,346.535,5,4,7,7,7.0,0.4000000000000341
2,47,247.98,247.885,249.065,5,4,6,6,6.0,1.1800000000000068
2,48,250.79500000000002,250.115,251.195,8,6,6,6,6.0,1.079999999999984
2,49,254.005,253.205,254.825,7,5,6,6,6.0,1.6199999999999761
2,50,88.34,87.99,88.58,21,17,3,3,3.0,0.5900000000000034
2,51,87.765,87.615,87.94,9,9,3,3,3.0,0.32500000000000284
2,52,340.3625,339.615,341.115,10,5,7,7,7.0,1.5
2,53,110.19749999999999,110.175,110.215,6,4,3,3,3.0,0.04000000000000625
2,54,224.22,222.265,225.385,10,4,6,6,6.0,3.1200000000000045
2,55,240.4775,239.905,240.835,6,5,6,6,6.0,0.9300000000000068
2,56,341.97,341.465,342.55,23,14,7,7,7.0,1.0850000000000364
2,57,342.805,342.565,342.905,7,7,7,7,7.0,0.339999999999975
2,58,226.775,226.41,227.695,9,7,6,6,6.0,1.2849999999999966
2,59,231.10750000000002,231.075,231.215,6,3,6,6,6.0,0.14000000000001478
2,60,242.3,241.865,242.99,9,8,6,6,6.0,1.125
2,61,243.95749999999998,243.5,244.48,10,9,6,6,6.0,0.9799999999999898
2,62,266.195,264.7,267.68,17,7,6,6,6.0,2.980000000000018
2,63,109.775,109.705,109.87,9,7,3,3,3.0,0.16500000000000625
2,64,110.0,109.87,110.02,7,7,3,3,3.0,0.14999999999999147
2,65,216.945,216.425,218.06,10,9,6,6,6.0,1.634999999999991
2,66,228.425,228.27,228.775,11,6,6,6,6.0,0.5049999999999955
2,67,343.8425,343.39,344.345,20,13,7,7,7.0,0.9550000000000409
2,68,344.66999999999996,344.515,344.865,8,6,7,7,7.0,0.35000000000002274
2,69,229.205,228.93,229.45,15,5,6,6,6.0,0.5199999999999818
2,70,229.655,229.62,229.715,7,3,6,6,6.0,0.09499999999999886
2,71,230.11,229.995,230.195,7,5,6,6,6.0,0.19999999999998863
2,72,230.53,230.345,230.595,6,5,6,6,6.0,0.25
2,73,219.995,219.915,220.36,12,8,6,6,6.0,0.4450000000000216
2,74,219.145,218.965,219.17,7,5,6,6,6.0,0.20499999999998408
2,75,219.52,219.38,219.56,5,4,6,6,6.0,0.18000000000000682
2,76,258.02,257.825,258.25,7,6,6,6,6.0,0.42500000000001137
2,77,259.395,258.785,259.52,5,5,6,6,6.0,0.7349999999999568
3,-1,202.025,85.01,356.735,35,21,3,7,4.685714285714286,271.725
3,0,465.29999999999995,459.7,477.585,10,2,8,8,8.0,17.88499999999999
3,1,114.83,108.78,115.27,8,3,3,3,3.0,6.489999999999995
3,2,128.6325,126.745,133.405,10,2,4,4,4.0,6.659999999999997
3,3,141.38,136.46,145.56,12,3,4,4,4.0,9.099999999999994
3,4,100.4225,100.065,101.495,10,4,3,3,3.0,1.4300000000000068
3,5,338.745,336.675,342.115,10,2,7,7,7.0,5.439999999999998
3,6,349.155,342.9,351.93,11,4,7,7,7.0,9.03000000000003
